name,accession_lat,accession_lng,terraclimate_lat,terraclimate_lng,spring_soil_moisture,fall_soil_moisture
ISU_104,44.173,-121.3181,44.1875,-121.3125,0.064561516,0.028752437
ISU_105,44.177,-121.3212,44.1875,-121.3125,0.064561516,0.028752437
ISU_106,39.55188,-119.831734,39.5625,-119.8125,0.045646396,0.020711498
ISU_107,43.07730925,-89.3945514,43.0625,-89.3958,0.3303111,0.34624755
ISU_111,38.889203,-106.986237,38.8958,-106.9792,0.2827888,0.1581384
ISU_113,47.5899,-94.728742,47.6042,-94.7292,0.4694388,0.5901559
ISU_114,44.650669,-111.437958,44.6458,-111.4375,0.43692353,0.18981482
ISU_115,41.587753,-73.931165,41.6042,-73.9375,0.47584808,0.6020955
ISU_116,38.936488,-119.966922,38.9375,-119.9792,0.3659528,0.17373294
ISU_117,38.919066,-106.960202,38.9375,-106.9792,0.2574644,0.1739766
ISU_118,46.868717,-113.947949,46.8542,-113.9375,0.20884791,0.08016568
ISU_119,41.049924,-81.437564,41.0625,-81.4375,0.46443644,0.43177387
ISU_121,40.976397,-76.553382,40.9792,-76.5625,0.33953416,0.43396685
ISU_122,43.605317,-109.425247,43.6042,-109.4375,0.06049711,0.041666664
ISU_123,47.74957,-107.68363,47.7292,-107.6875,0.022041583,0.018031187
ISU_124,47.74957,-107.68363,47.7292,-107.6875,0.022041583,0.018031187
ISU_125,41.042715,-85.231901,41.0625,-85.2292,0.24667814,0.23538008
ISU_126,44.808427,-68.600843,44.8125,-68.6042,0.29138657,0.40302143
ISU_127,41.2092981,-83.8990717,41.2292,-83.8958,0.3117086,0.24025339
ISU_128,48.50525,-111.86943,48.5208,-111.8542,0.020947319,0.022417152
ISU_129,48.51382,-111.85342,48.5208,-111.8542,0.020947319,0.022417152
ISU_130,39.897799,-105.351025,39.8958,-105.3542,0.14350475,0.050438598
ISU_131,39.705425,-105.085638,39.6875,-105.1042,0.026105989,0.0165692
ISU_132,39.705644,-105.087383,39.6875,-105.1042,0.026105989,0.0165692
ISU_133,39.60834,-104.971775,39.6042,-104.9792,0.017508205,0.009259259
ISU_134,39.709197,-105.293787,39.7292,-105.3125,0.07612943,0.034844056
ISU_135,39.58719,-106.043795,39.6042,-106.0625,0.13662654,0.053362574
ISU_136,39.607312,-104.964393,39.6042,-104.9792,0.017508205,0.009259259
ISU_137,39.609962,-104.975873,39.6042,-104.9792,0.017508205,0.009259259
ISU_138,41.567916,-93.78223,41.5625,-93.7708,0.43051434,0.45857698
ISU_139,41.575115,-93.77778,41.5625,-93.7708,0.43051434,0.45857698
ISU_140,44.403217,-93.207358,44.3958,-93.1875,0.35610443,0.43104285
ISU_141,39.43453,-106.40417,39.4375,-106.3958,0.23401597,0.13425925
ISU_142,38.857308,-106.943217,38.8542,-106.9375,0.27669218,0.14522418
ISU_143,41.757725,-111.812408,41.7708,-111.8125,0.2815382,0.095272906
ISU_144,43.48163,-111.21448,43.4792,-111.2292,0.5191496,0.20321636
ISU_145,43.4668,-111.253722,43.4792,-111.2708,0.52508986,0.20175439
ISU_146,43.886628,-111.166717,43.8958,-111.1875,0.5571362,0.20735866
ISU_147,43.21287,-98.414844,43.2292,-98.3958,0.279506,0.15009746
ISU_148,43.041547,-98.535767,43.0208,-98.5208,0.20071907,0.11622806
ISU_149,42.40681,-92.466681,42.3958,-92.4792,0.3795529,0.41008773
ISU_150,42.77567,-112.47527,42.7708,-112.4792,0.17664531,0.053118907
ISU_151,42.81983,-112.40068,42.8125,-112.3958,0.15882446,0.05604288
ISU_152,42.89564,-112.49799,42.8958,-112.4792,0.104580276,0.04093567
ISU_153,42.23964,-111.70314,42.2292,-111.6875,0.24323903,0.08357699
